# ----------------------------------------
# 1 Master View
# report
# 20200101-20230621
# ----------------------------------------

Дата,Пользователи,Новые пользователи,Сеансов на пользователя,Сред. длительность сеанса,Показатель отказов,Страниц/сеанс,Достигнутые цели,Доход
20221102,3 194,2 266,"1,14",00:04:01,"39,53 %","5,72",1 015,"14 546,30 $"
20230508,3 180,2 573,"1,09",00:03:00,"49,86 %","3,93",460,"4 989,98 $"
20220507,3 167,2 823,"1,07",00:01:39,"73,98 %","2,93",325,"3 433,23 $"
20210422,3 155,2 605,"1,10",00:03:00,"56,16 %","4,74",749,"10 361,19 $"
20220427,3 151,2 418,"1,11",00:03:23,"46,01 %","5,10",787,"14 496,46 $"
20201214,3 148,2 435,"1,12",00:03:45,"46,84 %","5,97",698,"2 992,41 $"
20220419,3 147,2 367,"1,13",00:03:16,"46,70 %","4,74",714,"17 234,22 $"
20220411,3 146,2 347,"1,12",00:03:13,"47,11 %","4,83",784,"11 446,86 $"
20220209,3 140,2 467,"1,13",00:03:24,"47,84 %","4,62",717,"5 908,92 $"
20220525,3 139,2 405,"1,13",00:03:19,"45,46 %","4,90",776,"9 901,71 $"
20220420,3 131,2 349,"1,13",00:03:24,"47,64 %","4,86",805,"8 920,60 $"
20220727,3 130,2 296,"1,12",00:03:38,"39,60 %","5,37",894,"8 340,04 $"
20221019,3 128,2 367,"1,11",00:03:36,"42,93 %","4,66",687,"10 090,24 $"
20210721,3 127,2 313,"1,10",00:03:21,"43,93 %","5,41",917,"6 647,77 $"
20211213,3 120,2 220,"1,13",00:04:14,"40,59 %","6,78",1 131,"18 460,19 $"
20221129,3 117,2 162,"1,14",00:03:58,"42,87 %","4,98",834,"12 240,40 $"
20230511,3 106,2 414,"1,13",00:03:12,"45,96 %","4,05",506,"6 802,84 $"
20230602,3 100,2 525,"1,08",00:02:41,"52,51 %","3,89",469,"290,15 $"
20201202,3 089,2 409,"1,12",00:03:26,"42,43 %","5,08",498,"13,00 $"
20221115,3 088,2 228,"1,11",00:03:10,"45,97 %","4,92",765,"12 115,70 $"
20210301,3 086,2 533,"1,09",00:02:52,"54,57 %","4,15",578,"1 315,56 $"
20220421,3 085,2 254,"1,15",00:03:41,"43,35 %","5,25",876,"12 999,83 $"
20220513,3 079,2 445,"1,09",00:02:49,"53,95 %","4,60",695,"13 517,19 $"
20230618,3 077,2 745,"1,04",00:01:27,"62,34 %","2,66",240,"0,00 $"
20221209,3 076,2 120,"1,12",00:03:34,"43,48 %","5,13",996,"26 109,44 $"
20220719,3 073,2 327,"1,10",00:03:22,"42,02 %","5,11",769,"5 912,64 $"
20230411,3 073,2 341,"1,12",00:03:55,"41,52 %","4,64",590,"8 067,90 $"
20220426,3 068,2 316,"1,11",00:03:25,"45,41 %","4,90",738,"10 346,16 $"
20230105,3 062,1 983,"1,10",00:03:24,"42,28 %","4,95",850,"13 471,47 $"
20230509,3 057,2 401,"1,12",00:03:14,"48,17 %","3,87",486,"19 811,64 $"
20220428,3 056,2 395,"1,11",00:03:31,"44,55 %","5,25",802,"8 110,06 $"
20211216,3 053,2 143,"1,13",00:04:18,"40,31 %","6,72",1 136,"15 934,37 $"
20211214,3 047,2 179,"1,13",00:03:57,"40,34 %","6,29",1 094,"19 022,07 $"
20220412,3 047,2 307,"1,13",00:03:05,"44,65 %","4,70",679,"6 696,83 $"
20210428,3 045,2 475,"1,09",00:02:48,"53,88 %","4,61",662,"5 875,88 $"
20221205,3 040,2 161,"1,13",00:03:30,"43,35 %","5,08",838,"12 792,55 $"
20221013,3 039,2 238,"1,11",00:03:28,"40,58 %","5,14",760,"12 016,05 $"
20221114,3 039,2 126,"1,11",00:03:18,"43,67 %","4,82",773,"8 364,06 $"
20221017,3 036,2 198,"1,12",00:03:39,"42,92 %","5,01",799,"7 794,06 $"
20220720,3 033,2 266,"1,13",00:03:39,"41,22 %","5,34",847,"14 366,22 $"
20201215,3 028,2 296,"1,14",00:04:03,"46,71 %","6,68",984,"16 786,38 $"
20220425,3 023,2 290,"1,12",00:03:09,"46,10 %","4,79",746,"12 688,72 $"
20220929,3 022,2 135,"1,15",00:03:54,"41,35 %","5,04",761,"9 014,81 $"
20220505,3 019,2 323,"1,12",00:03:38,"45,08 %","5,13",795,"14 946,71 $"
20220526,3 018,2 340,"1,11",00:03:02,"46,52 %","4,79",730,"11 612,45 $"
20211020,3 017,2 259,"1,11",00:03:33,"44,74 %","5,68",911,"10 562,88 $"
20220524,3 017,2 289,"1,12",00:03:17,"45,07 %","5,04",780,"7 486,60 $"
20221122,3 012,2 130,"1,11",00:03:50,"42,23 %","5,06",774,"9 856,44 $"
20221213,3 007,2 101,"1,11",00:03:41,"43,51 %","5,39",1 083,"15 719,40 $"
20211130,3 005,2 200,"1,13",00:03:42,"42,81 %","5,63",898,"11 319,82 $"
20201130,3 000,2 273,"1,14",00:03:58,"41,15 %","6,22",599,"20,00 $"
20210303,2 999,2 387,"1,10",00:02:42,"53,32 %","4,18",582,"178,12 $"
20211201,2 998,2 216,"1,11",00:03:39,"43,87 %","5,26",885,"22 329,42 $"
20220615,2 998,2 219,"1,11",00:03:35,"43,28 %","5,62",884,"0,00 $"
20230425,2 998,2 390,"1,10",00:02:58,"48,68 %","3,62",431,"5 524,80 $"
20221214,2 996,2 117,"1,11",00:03:35,"42,45 %","4,99",935,"13 816,58 $"
20220517,2 995,2 285,"1,13",00:03:30,"46,92 %","4,78",748,"9 587,53 $"
20211108,2 990,2 058,"1,14",00:03:33,"42,86 %","5,25",794,"9 721,97 $"
20211117,2 990,2 175,"1,12",00:03:29,"44,80 %","5,02",772,"11 744,32 $"
20200707,2 986,2 466,"1,13",00:02:53,"47,52 %","4,54",446,"69,50 $"
20211202,2 984,2 186,"1,13",00:03:40,"43,39 %","5,48",872,"10 199,03 $"
20221006,2 984,2 272,"1,12",00:03:17,"44,21 %","4,83",704,"8 639,74 $"
20211109,2 978,2 143,"1,12",00:03:42,"42,16 %","5,31",882,"12 812,83 $"
20211005,2 973,2 242,"1,11",00:03:17,"45,55 %","4,83",638,"6 460,68 $"
20220516,2 970,2 252,"1,12",00:02:58,"49,02 %","4,68",732,"11 789,68 $"
20211118,2 969,2 190,"1,12",00:03:47,"43,70 %","5,81",900,"19 406,59 $"
20220208,2 968,2 348,"1,11",00:03:20,"50,62 %","4,46",704,"6 708,03 $"
20220726,2 961,2 160,"1,12",00:03:42,"40,76 %","5,46",861,"8 153,84 $"
20220606,2 957,2 187,"1,12",00:03:04,"44,38 %","5,06",809,"7 251,37 $"
20220601,2 954,2 231,"1,11",00:02:59,"46,12 %","4,71",669,"10 650,23 $"
20211215,2 953,2 012,"1,14",00:04:31,"40,25 %","6,60",1 063,"24 668,45 $"
20201217,2 950,2 278,"1,11",00:03:39,"46,19 %","5,99",852,"7 837,92 $"
20211006,2 947,2 218,"1,12",00:03:39,"44,02 %","5,22",734,"10 842,00 $"
20230418,2 944,2 394,"1,10",00:02:48,"45,36 %","4,04",491,"3 845,66 $"
20220523,2 942,2 246,"1,14",00:03:03,"47,65 %","4,55",670,"8 117,35 $"
20210928,2 923,2 277,"1,11",00:03:13,"46,08 %","5,14",723,"10 977,80 $"
20220413,2 920,2 163,"1,10",00:03:14,"45,61 %","4,73",701,"6 765,60 $"
20201211,2 917,2 262,"1,11",00:03:37,"48,83 %","5,61",530,"320,80 $"
20210726,2 915,2 133,"1,10",00:03:09,"42,13 %","5,39",820,"7 292,86 $"
20211007,2 912,2 152,"1,13",00:03:36,"44,02 %","5,32",808,"10 448,24 $"
20220616,2 912,2 178,"1,12",00:03:23,"43,33 %","5,43",830,"0,00 $"
20210427,2 911,2 422,"1,09",00:02:41,"56,20 %","4,19",500,"5 525,54 $"
20210421,2 908,2 407,"1,10",00:02:37,"56,15 %","4,03",542,"5 131,06 $"
20230524,2 905,2 321,"1,09",00:02:46,"49,97 %","3,76",425,"979,75 $"
