# ----------------------------------------
# 1 Master View
# report
# 20200101-20230621
# ----------------------------------------

Дата,Пользователи,Новые пользователи,Сеансов на пользователя,Сред. длительность сеанса,Показатель отказов,Страниц/сеанс,Достигнутые цели,Доход
20220707,2 634,1 942,"1,12",00:03:21,"42,72 %","5,13",740,"10 225,32 $"
20230420,2 629,2 130,"1,10",00:02:56,"46,36 %","4,03",389,"2 819,42 $"
20220204,2 625,2 037,"1,10",00:03:10,"48,70 %","4,82",571,"4 498,00 $"
20220603,2 624,2 001,"1,12",00:03:29,"45,43 %","5,44",775,"10 929,86 $"
20220201,2 623,2 017,"1,10",00:03:00,"48,06 %","4,79",573,"5 941,66 $"
20220317,2 617,1 973,"1,11",00:03:27,"42,45 %","5,31",709,"10 135,76 $"
20210406,2 613,2 079,"1,10",00:03:03,"51,56 %","4,37",547,"7 356,42 $"
20200625,2 609,2 065,"1,14",00:03:34,"43,93 %","5,04",458,"271,75 $"
20220714,2 609,1 968,"1,12",00:03:26,"41,98 %","5,30",739,"8 274,36 $"
20230413,2 606,2 004,"1,11",00:03:23,"45,57 %","4,07",440,"6 604,54 $"
20220729,2 604,1 797,"1,11",00:03:55,"39,71 %","5,59",813,"9 861,84 $"
20230518,2 602,1 999,"1,11",00:03:15,"45,39 %","4,22",463,"6 713,24 $"
20220302,2 601,2 047,"1,11",00:03:12,"47,46 %","4,65",593,"6 541,62 $"
20210318,2 598,2 061,"1,09",00:02:47,"50,19 %","4,38",521,"5 871,94 $"
20230109,2 597,1 919,"1,11",00:03:16,"47,82 %","4,17",543,"5 573,46 $"
20230515,2 596,1 917,"1,13",00:03:13,"45,61 %","4,09",463,"6 714,66 $"
20220310,2 595,2 019,"1,12",00:03:24,"46,77 %","4,83",671,"11 289,82 $"
20220907,2 595,1 958,"1,10",00:03:01,"45,83 %","4,86",645,"7 836,35 $"
20221010,2 589,1 932,"1,11",00:03:02,"44,00 %","4,77",582,"9 115,60 $"
20201020,2 588,2 028,"1,10",00:02:51,"48,14 %","4,68",308,"7,00 $"
20220831,2 582,1 954,"1,10",00:03:12,"42,91 %","4,99",645,"5 725,95 $"
20221219,2 580,1 761,"1,11",00:03:43,"42,40 %","4,93",717,"11 081,49 $"
20211220,2 577,1 817,"1,11",00:04:47,"39,60 %","7,07",1 003,"12 951,06 $"
20220520,2 576,1 945,"1,11",00:03:33,"46,24 %","5,28",678,"7 140,64 $"
20230607,2 576,1 983,"1,12",00:03:32,"44,35 %","4,36",495,"558,80 $"
20210120,2 575,2 047,"1,12",00:03:10,"51,73 %","5,10",615,"7 976,60 $"
20220316,2 574,1 974,"1,11",00:03:38,"44,09 %","5,10",652,"7 429,25 $"
20210825,2 570,1 947,"1,10",00:03:15,"42,78 %","5,59",642,"6 590,57 $"
20220824,2 570,1 936,"1,12",00:03:24,"41,80 %","5,48",757,"14 716,65 $"
20201102,2 569,1 959,"1,10",00:03:15,"44,47 %","4,97",382,"0,00 $"
20221027,2 569,1 872,"1,12",00:03:22,"42,15 %","4,77",626,"7 906,47 $"
20210316,2 568,2 037,"1,10",00:03:04,"49,93 %","4,59",563,"4 468,76 $"
20220908,2 567,1 965,"1,10",00:03:02,"43,28 %","5,02",668,"10 325,45 $"
20210525,2 566,2 035,"1,10",00:03:30,"44,06 %","5,35",683,"13 124,04 $"
20210603,2 566,1 899,"1,13",00:03:49,"43,34 %","5,58",853,"10 837,96 $"
20200610,2 565,2 050,"1,14",00:02:49,"51,11 %","4,52",324,"90,30 $"
20230201,2 565,2 000,"1,11",00:02:19,"52,08 %","3,33",326,"7 676,20 $"
20220617,2 563,1 900,"1,11",00:03:48,"45,13 %","5,70",713,"0,00 $"
20210304,2 560,1 995,"1,10",00:02:43,"51,78 %","4,32",524,"1 764,90 $"
20230427,2 558,1 962,"1,10",00:02:50,"46,16 %","3,96",412,"4 127,26 $"
20210629,2 557,1 965,"1,08",00:03:58,"41,63 %","6,09",1 007,"9 017,84 $"
20210930,2 557,1 942,"1,10",00:03:02,"46,99 %","5,16",654,"16 232,73 $"
20220915,2 557,1 883,"1,12",00:03:29,"40,26 %","4,95",640,"7 900,25 $"
20210401,2 547,2 106,"1,09",00:03:07,"51,91 %","4,60",582,"4 320,23 $"
20220330,2 546,1 852,"1,11",00:03:46,"42,98 %","5,46",722,"6 863,90 $"
20230504,2 546,1 938,"1,12",00:03:14,"47,47 %","4,02",451,"9 301,90 $"
20210511,2 545,2 007,"1,11",00:03:24,"46,84 %","4,93",599,"5 019,69 $"
20210608,2 545,2 005,"1,11",00:03:30,"44,63 %","5,46",724,"8 484,87 $"
20210803,2 545,1 879,"1,09",00:03:25,"43,91 %","5,65",760,"7 010,46 $"
20220329,2 545,1 879,"1,11",00:03:19,"43,39 %","5,12",655,"7 920,62 $"
20200805,2 544,1 857,"1,15",00:04:16,"33,86 %","7,04",601,"179,70 $"
20230111,2 541,1 901,"1,13",00:03:37,"44,24 %","4,60",575,"8 967,30 $"
20210914,2 540,1 973,"1,09",00:03:02,"47,12 %","5,06",612,"7 191,10 $"
20221024,2 540,1 842,"1,12",00:03:30,"43,97 %","5,09",662,"9 555,58 $"
20210520,2 534,1 983,"1,10",00:03:27,"46,91 %","5,06",662,"5 531,66 $"
20220514,2 532,2 258,"1,07",00:01:54,"68,19 %","3,09",291,"3 951,39 $"
20220722,2 532,1 847,"1,11",00:03:45,"42,30 %","5,78",809,"8 461,96 $"
20221111,2 532,1 802,"1,10",00:03:43,"40,83 %","5,24",675,"9 194,20 $"
20211126,2 531,2 056,"1,08",00:02:58,"52,37 %","4,53",531,"9 863,50 $"
20210518,2 530,1 981,"1,10",00:03:25,"47,72 %","5,08",663,"6 069,39 $"
20220822,2 529,1 854,"1,12",00:03:26,"42,79 %","5,45",701,"7 455,29 $"
20201019,2 528,1 969,"1,10",00:03:22,"45,67 %","5,16",372,"154,20 $"
20211105,2 528,1 756,"1,12",00:03:39,"42,70 %","5,41",751,"10 368,09 $"
20211011,2 526,1 902,"1,11",00:03:03,"45,16 %","4,68",587,"6 452,14 $"
20220815,2 524,1 794,"1,12",00:03:20,"41,83 %","5,18",712,"8 816,04 $"
20211112,2 523,1 870,"1,11",00:03:32,"44,92 %","5,43",759,"12 351,24 $"
20201104,2 521,1 966,"1,12",00:03:08,"47,04 %","4,30",309,"86,50 $"
20210325,2 520,2 020,"1,09",00:02:35,"52,87 %","4,21",516,"7 248,51 $"
20220222,2 520,1 926,"1,11",00:03:04,"47,04 %","4,44",529,"5 379,66 $"
20230118,2 520,1 949,"1,12",00:03:05,"45,28 %","4,13",523,"8 084,12 $"
20210804,2 518,1 832,"1,10",00:03:29,"42,55 %","5,59",693,"6 794,22 $"
20220112,2 516,1 928,"1,11",00:02:59,"48,55 %","4,72",578,"7 703,96 $"
20230117,2 515,1 856,"1,10",00:02:55,"45,26 %","4,08",495,"3 995,00 $"
20210922,2 513,1 983,"1,08",00:03:16,"45,50 %","5,23",565,"6 277,71 $"
20200930,2 512,1 987,"1,13",00:03:16,"40,84 %","5,08",414,"0,00 $"
20230530,2 512,1 972,"1,12",00:02:49,"48,77 %","3,97",428,"1 000,00 $"
20220111,2 511,1 946,"1,11",00:03:02,"47,63 %","4,54",491,"3 695,74 $"
20211101,2 510,1 794,"1,13",00:03:51,"42,89 %","5,72",771,"9 070,32 $"
20210329,2 508,2 005,"1,10",00:03:06,"49,71 %","4,88",552,"4 360,42 $"
20220325,2 507,1 896,"1,11",00:03:42,"42,32 %","5,81",723,"12 963,89 $"
20220124,2 506,1 947,"1,10",00:02:56,"47,60 %","4,68",556,"3 766,03 $"
20220817,2 506,1 838,"1,12",00:03:11,"42,94 %","5,48",713,"8 245,90 $"
20230525,2 506,1 928,"1,11",00:02:59,"47,73 %","3,92",419,"487,95 $"
20210802,2 505,1 840,"1,09",00:02:52,"42,88 %","5,01",579,"3 657,96 $"
20230503,2 504,1 868,"1,12",00:02:56,"46,44 %","4,07",453,"7 252,14 $"
20210119,2 502,2 004,"1,13",00:04:03,"47,43 %","6,77",743,"5 974,52 $"
20210805,2 502,1 802,"1,11",00:03:33,"43,74 %","5,81",715,"6 979,52 $"
20220912,2 502,1 845,"1,12",00:03:14,"41,36 %","5,04",633,"6 791,10 $"
20220624,2 501,1 875,"1,12",00:03:21,"46,08 %","5,30",701,"5 243,04 $"
20221123,2 501,1 828,"1,09",00:03:09,"46,31 %","4,49",544,"5 170,83 $"
20230605,2 501,1 901,"1,09",00:02:54,"47,12 %","4,19",470,"0,00 $"
20210309,2 499,1 982,"1,09",00:02:37,"53,18 %","4,05",444,"227,40 $"
20211014,2 499,1 841,"1,11",00:03:21,"46,10 %","4,99",566,"7 268,31 $"
20220307,2 499,1 869,"1,11",00:03:23,"48,51 %","4,94",644,"13 505,58 $"
20220118,2 497,1 942,"1,10",00:02:47,"48,20 %","4,69",563,"3 712,33 $"
20220422,2 497,1 859,"1,12",00:03:20,"46,89 %","5,03",586,"8 304,65 $"
20230206,2 497,1 890,"1,11",00:03:10,"47,65 %","4,18",515,"6 182,29 $"
20210923,2 491,1 931,"1,10",00:03:31,"45,36 %","5,39",618,"6 937,90 $"
20220303,2 491,1 894,"1,11",00:03:04,"44,94 %","4,52",583,"5 463,65 $"
20220515,2 491,2 150,"1,07",00:02:13,"63,33 %","3,74",366,"3 531,28 $"
20211119,2 490,1 849,"1,12",00:03:21,"45,02 %","5,17",731,"11 773,37 $"
20220811,2 489,1 781,"1,12",00:03:27,"41,07 %","5,38",685,"8 388,48 $"
20210315,2 485,1 949,"1,10",00:02:41,"51,19 %","4,45",499,"3 944,16 $"
20210510,2 484,1 937,"1,09",00:03:04,"45,27 %","5,02",621,"5 567,03 $"
20220214,2 484,1 887,"1,10",00:02:58,"45,90 %","4,45",567,"3 838,91 $"
20220119,2 481,1 953,"1,10",00:02:44,"49,10 %","4,31",376,"2 469,11 $"
20230103,2 481,1 768,"1,11",00:03:03,"46,19 %","4,24",483,"7 109,33 $"
20210819,2 479,1 861,"1,13",00:04:20,"40,15 %","7,72",1 061,"12 020,33 $"
20220914,2 479,1 842,"1,11",00:03:05,"43,79 %","4,60",563,"5 972,28 $"
20230517,2 479,1 910,"1,11",00:02:55,"46,92 %","4,08",457,"5 755,26 $"
20210526,2 478,1 955,"1,10",00:03:08,"45,79 %","4,99",645,"6 117,76 $"
20230202,2 476,1 919,"1,11",00:03:01,"49,91 %","3,69",362,"2 261,00 $"
20230209,2 476,1 911,"1,13",00:02:58,"46,60 %","3,65",438,"4 245,04 $"
20210617,2 475,1 924,"1,10",00:03:26,"44,50 %","5,46",609,"6 166,76 $"
20210716,2 475,1 869,"1,12",00:03:46,"43,78 %","5,78",785,"6 644,41 $"
20230531,2 475,1 912,"1,10",00:03:03,"46,91 %","4,18",441,"61,60 $"
20210921,2 474,1 876,"1,10",00:03:24,"45,28 %","5,44",645,"8 556,45 $"
20201125,2 473,1 894,"1,11",00:03:49,"46,39 %","5,38",429,"303,50 $"
20210826,2 472,1 901,"1,09",00:03:02,"45,62 %","5,09",628,"6 314,92 $"
20210909,2 472,1 949,"1,08",00:03:04,"47,25 %","4,76",512,"4 721,06 $"
20210106,2 470,2 055,"1,08",00:02:23,"53,40 %","3,95",394,"1 930,48 $"
20211004,2 465,1 835,"1,11",00:03:07,"45,27 %","4,90",589,"9 067,10 $"
20220110,2 465,1 873,"1,10",00:02:51,"50,02 %","4,50",514,"4 603,06 $"
20220527,2 465,1 877,"1,11",00:03:01,"46,46 %","5,09",663,"14 371,62 $"
20230608,2 465,1 920,"1,11",00:02:54,"48,44 %","3,93",396,"36,80 $"
20210512,2 458,1 896,"1,12",00:03:35,"45,60 %","4,87",553,"4 817,53 $"
20200810,2 456,1 682,"1,16",00:03:40,"36,58 %","5,93",490,"415,20 $"
20210913,2 455,1 854,"1,09",00:03:07,"47,98 %","5,01",577,"4 395,48 $"
20220816,2 455,1 813,"1,12",00:03:29,"40,95 %","5,46",706,"10 000,47 $"
20220826,2 455,1 785,"1,12",00:04:00,"40,47 %","6,04",773,"12 496,39 $"
20230619,2 453,2 026,"1,07",00:02:14,"54,46 %","3,32",263,"0,00 $"
20220415,2 452,1 844,"1,11",00:03:00,"48,11 %","5,07",631,"10 870,24 $"
20210506,2 451,1 916,"1,11",00:03:43,"43,34 %","5,15",698,"5 412,16 $"
20210916,2 450,1 902,"1,08",00:02:55,"47,29 %","4,88",523,"4 805,95 $"
20220128,2 448,1 909,"1,11",00:02:55,"48,80 %","4,55",543,"5 429,16 $"
20201105,2 446,1 828,"1,10",00:03:37,"44,50 %","4,87",330,"112,00 $"
20210201,2 446,1 924,"1,11",00:03:01,"50,44 %","4,44",471,"216,40 $"
20210615,2 446,1 899,"1,11",00:03:10,"47,34 %","4,94",583,"4 743,14 $"
20200710,2 445,1 856,"1,13",00:03:32,"42,11 %","5,53",485,"69,40 $"
20210920,2 445,1 873,"1,11",00:03:09,"45,51 %","5,14",574,"5 430,83 $"
20220113,2 445,1 861,"1,11",00:03:10,"46,11 %","4,98",572,"5 283,47 $"
20221031,2 445,1 747,"1,11",00:03:25,"44,46 %","4,85",610,"8 756,92 $"
20210125,2 444,1 904,"1,11",00:02:41,"53,15 %","4,59",526,"7 740,68 $"
20210505,2 444,1 938,"1,09",00:02:47,"49,33 %","4,56",528,"5 065,27 $"
20200714,2 442,1 887,"1,16",00:03:06,"47,11 %","4,71",371,"35,00 $"
20230119,2 442,1 879,"1,12",00:03:13,"46,73 %","4,40",521,"8 857,32 $"
20230419,2 439,1 862,"1,10",00:03:04,"43,75 %","4,02",390,"7 017,85 $"
20200715,2 438,1 899,"1,13",00:03:19,"44,21 %","4,85",349,"0,00 $"
20210330,2 435,1 949,"1,11",00:02:51,"52,37 %","4,27",529,"4 536,36 $"
20201110,2 434,1 836,"1,11",00:03:27,"43,55 %","4,94",377,"0,00 $"
20201030,2 430,1 909,"1,11",00:03:16,"46,56 %","5,11",356,"264,60 $"
20210225,2 430,1 932,"1,12",00:03:31,"50,66 %","4,85",531,"126,08 $"
20220131,2 428,1 809,"1,11",00:03:02,"47,91 %","4,76",552,"7 856,02 $"
20230516,2 428,1 853,"1,11",00:03:14,"44,76 %","4,08",424,"5 751,11 $"
20230208,2 427,1 892,"1,11",00:03:00,"49,00 %","3,72",396,"3 070,38 $"
20220930,2 424,1 704,"1,15",00:03:35,"45,23 %","4,90",619,"6 881,84 $"
20201123,2 422,1 827,"1,12",00:03:39,"41,55 %","5,09",407,"274,40 $"
20210105,2 422,1 955,"1,08",00:02:49,"51,93 %","4,59",470,"2 374,98 $"
20210121,2 422,1 889,"1,11",00:03:10,"50,65 %","5,13",612,"5 283,81 $"
20210322,2 421,1 903,"1,10",00:03:08,"53,61 %","4,63",515,"6 666,86 $"
20210204,2 416,1 921,"1,11",00:02:58,"49,85 %","4,64",544,"469,20 $"
20210217,2 415,1 927,"1,12",00:03:11,"48,60 %","4,35",456,"170,16 $"
20230606,2 415,1 879,"1,10",00:03:05,"46,21 %","4,09",409,"0,00 $"
20230612,2 414,1 849,"1,10",00:03:13,"42,88 %","4,20",420,"0,00 $"
20201022,2 413,1 861,"1,10",00:03:07,"45,36 %","5,04",356,"78,67 $"
20201117,2 411,1 782,"1,12",00:04:02,"39,73 %","5,34",405,"154,60 $"
20220301,2 409,1 845,"1,12",00:03:13,"48,41 %","4,52",550,"6 578,53 $"
20220830,2 409,1 754,"1,11",00:03:11,"42,46 %","4,93",637,"6 078,93 $"
20230321,2 408,1 872,"1,11",00:03:01,"45,34 %","3,96",365,"5 151,90 $"
20230407,2 405,2 017,"1,07",00:02:46,"50,64 %","3,88",356,"4 391,30 $"
20210423,2 404,1 932,"1,08",00:02:25,"55,53 %","4,26",443,"3 196,60 $"
20220805,2 403,1 740,"1,12",00:03:55,"40,21 %","5,96",723,"10 000,15 $"
20210601,2 400,1 816,"1,12",00:03:27,"44,22 %","5,92",830,"9 503,86 $"
20210504,2 399,1 895,"1,10",00:02:46,"51,08 %","4,45",511,"5 354,34 $"
20220715,2 397,1 837,"1,10",00:03:27,"41,94 %","5,35",680,"6 906,44 $"
20230505,2 395,1 849,"1,08",00:02:40,"50,46 %","3,89",357,"6 074,40 $"
20220314,2 393,1 801,"1,12",00:03:30,"46,09 %","4,89",575,"9 634,60 $"
20210727,2 390,1 654,"1,11",00:03:11,"45,27 %","5,20",661,"6 012,88 $"
20200605,2 389,1 971,"1,12",00:02:56,"49,12 %","4,41",333,"280,50 $"
20220923,2 388,1 792,"1,12",00:03:32,"41,52 %","5,33",671,"10 757,60 $"
20220829,2 386,1 727,"1,11",00:03:30,"40,01 %","5,63",703,"9 691,14 $"
20220223,2 385,1 825,"1,10",00:03:05,"46,80 %","4,80",576,"5 992,15 $"
20230222,2 382,1 864,"1,11",00:02:54,"45,44 %","4,01",480,"11 554,92 $"
20221007,2 375,1 786,"1,10",00:03:32,"43,14 %","5,34",626,"6 789,90 $"
20200608,2 374,1 896,"1,14",00:02:56,"51,50 %","4,61",340,"121,20 $"
20230228,2 374,1 860,"1,11",00:02:51,"46,35 %","3,89",346,"8 696,98 $"
20210519,2 372,1 838,"1,11",00:03:24,"46,95 %","4,71",577,"5 179,25 $"
20210728,2 372,1 746,"1,10",00:03:15,"44,51 %","5,36",605,"3 997,51 $"
20201116,2 371,1 765,"1,14",00:03:23,"40,29 %","4,97",371,"326,30 $"
20230404,2 368,1 867,"1,11",00:03:13,"43,52 %","3,88",347,"4 873,72 $"
20211008,2 367,1 718,"1,13",00:03:48,"42,53 %","5,49",650,"13 967,84 $"
20211221,2 366,1 699,"1,11",00:03:41,"41,91 %","6,14",712,"14 022,15 $"
20230104,2 365,1 736,"1,12",00:03:06,"45,60 %","4,20",526,"6 987,42 $"
20200720,2 363,1 738,"1,14",00:03:15,"45,27 %","4,88",382,"216,60 $"
20230112,2 363,1 765,"1,10",00:03:00,"45,34 %","4,26",480,"5 935,74 $"
20201127,2 360,1 867,"1,12",00:03:34,"44,47 %","5,26",427,"824,50 $"
20200113,2 359,1 926,"1,14",00:02:36,"44,74 %","4,02",308,"24,00 $"
20210527,2 359,1 832,"1,13",00:03:28,"45,70 %","5,10",631,"8 204,14 $"
20210902,2 359,1 834,"1,08",00:03:08,"44,20 %","5,42",627,"4 470,76 $"
20201119,2 358,1 724,"1,14",00:03:50,"40,26 %","5,00",367,"523,75 $"
20210616,2 358,1 798,"1,10",00:03:17,"46,98 %","4,68",536,"4 944,30 $"
20210907,2 356,1 816,"1,09",00:02:55,"47,47 %","5,04",562,"4 508,29 $"
20200819,2 355,1 759,"1,14",00:03:09,"38,63 %","5,05",414,"136,80 $"
20200611,2 354,1 868,"1,14",00:02:46,"51,93 %","4,44",334,"269,45 $"
20221216,2 353,1 686,"1,11",00:03:36,"41,32 %","5,14",732,"8 340,37 $"
20200527,2 352,1 921,"1,14",00:03:01,"47,11 %","4,59",313,"54,50 $"
20200528,2 352,1 861,"1,15",00:03:07,"48,96 %","4,59",331,"246,20 $"
20210607,2 351,1 757,"1,11",00:03:23,"46,22 %","5,51",660,"7 039,04 $"
20210210,2 350,1 858,"1,11",00:03:03,"50,88 %","4,56",586,"167,40 $"
20230512,2 350,1 774,"1,13",00:03:11,"45,92 %","4,01",419,"5 613,60 $"
20221220,2 347,1 688,"1,11",00:03:13,"44,99 %","4,53",528,"7 497,23 $"
20210308,2 346,1 829,"1,11",00:02:50,"51,02 %","4,15",437,"226,40 $"
20220315,2 345,1 727,"1,11",00:03:15,"44,46 %","5,04",589,"7 728,40 $"
20201118,2 344,1 758,"1,12",00:03:25,"40,74 %","5,12",315,"265,08 $"
20220620,2 344,1 858,"1,11",00:02:57,"50,79 %","4,34",482,"4 242,54 $"
20210409,2 341,1 907,"1,09",00:02:41,"52,71 %","4,43",471,"3 792,25 $"
20200609,2 338,1 867,"1,14",00:02:47,"48,97 %","4,40",313,"235,50 $"
20210208,2 337,1 811,"1,10",00:02:49,"50,19 %","4,26",477,"126,12 $"
20210714,2 332,1 833,"1,09",00:02:58,"48,13 %","4,80",558,"7 690,34 $"
20200211,2 331,1 878,"1,13",00:02:53,"44,74 %","4,31",277,"40,00 $"
20230223,2 330,1 810,"1,11",00:02:56,"47,73 %","3,81",353,"5 974,04 $"
20201006,2 329,1 829,"1,12",00:03:01,"42,77 %","4,79",333,"50,45 $"
20210218,2 329,1 865,"1,13",00:03:26,"51,45 %","4,25",487,"230,50 $"
20230216,2 322,1 774,"1,11",00:02:49,"47,09 %","3,95",437,"4 278,98 $"
20210126,2 319,1 836,"1,12",00:02:31,"53,63 %","4,02",440,"271,52 $"
20220705,2 319,1 835,"1,09",00:02:45,"51,82 %","4,31",478,"4 595,47 $"
20210729,2 315,1 736,"1,09",00:03:21,"44,19 %","5,19",570,"5 241,98 $"
20210517,2 314,1 799,"1,12",00:03:34,"46,35 %","4,91",599,"6 514,05 $"
20210628,2 314,1 758,"1,10",00:03:28,"45,22 %","5,37",644,"4 970,06 $"
20210128,2 313,1 797,"1,11",00:02:44,"51,87 %","4,14",429,"366,72 $"
20220901,2 313,1 698,"1,11",00:03:28,"43,04 %","5,42",655,"8 638,80 $"
20230314,2 313,1 802,"1,13",00:03:13,"44,18 %","4,11",385,"5 750,84 $"
20220105,2 312,1 770,"1,10",00:03:03,"47,42 %","4,96",557,"5 614,94 $"
20200219,2 310,1 896,"1,13",00:02:29,"46,94 %","3,90",234,"159,00 $"
20200220,2 309,1 896,"1,13",00:02:51,"46,47 %","4,08",261,"69,60 $"
20210713,2 309,1 772,"1,11",00:03:31,"44,73 %","5,24",638,"11 879,81 $"
20210809,2 309,1 673,"1,12",00:03:36,"41,19 %","5,92",679,"5 932,96 $"
20210224,2 308,1 803,"1,12",00:02:59,"49,52 %","4,56",478,"718,78 $"
20201120,2 307,1 738,"1,14",00:03:35,"38,59 %","5,09",376,"8,40 $"
20221211,2 306,1 844,"1,10",00:03:16,"52,73 %","4,48",579,"7 777,20 $"
20200129,2 304,1 886,"1,13",00:03:00,"41,87 %","4,23",303,"0,00 $"
20210405,2 303,1 778,"1,10",00:02:59,"50,22 %","4,71",518,"3 547,30 $"
20230130,2 302,1 735,"1,09",00:02:54,"46,87 %","3,63",393,"2 768,24 $"
20221221,2 301,1 639,"1,11",00:03:30,"45,62 %","4,68",538,"9 695,72 $"
20200604,2 300,1 855,"1,13",00:02:50,"52,88 %","4,41",311,"204,75 $"
20210602,2 299,1 750,"1,11",00:03:34,"46,67 %","5,05",595,"5 428,04 $"
20210609,2 298,1 764,"1,12",00:03:32,"44,56 %","5,10",581,"5 158,54 $"
20200526,2 297,1 830,"1,13",00:03:09,"47,76 %","4,65",341,"332,70 $"
20200212,2 296,1 872,"1,12",00:02:46,"45,93 %","4,11",270,"13,00 $"
20200218,2 296,1 829,"1,13",00:02:54,"47,76 %","3,98",255,"108,00 $"
20210610,2 296,1 766,"1,11",00:03:18,"46,73 %","4,84",565,"4 432,57 $"
20220701,2 291,1 735,"1,10",00:03:30,"45,89 %","5,14",573,"13 577,71 $"
20210623,2 289,1 781,"1,12",00:03:15,"48,50 %","4,74",486,"3 750,48 $"
20230617,2 287,2 015,"1,05",00:01:35,"61,28 %","2,77",191,"0,00 $"
20210824,2 286,1 773,"1,09",00:02:45,"45,04 %","4,89",539,"3 702,79 $"
20211029,2 286,1 676,"1,12",00:03:40,"44,28 %","5,61",690,"11 639,17 $"
20221021,2 285,1 684,"1,11",00:03:25,"42,12 %","5,24",616,"5 120,87 $"
20200803,2 282,1 779,"1,12",00:03:10,"44,67 %","5,31",399,"351,60 $"
20210621,2 282,1 711,"1,10",00:03:35,"42,26 %","5,68",648,"5 480,78 $"
20201221,2 281,1 739,"1,10",00:03:18,"46,35 %","6,04",637,"4 890,65 $"
20230615,2 281,1 706,"1,12",00:03:15,"44,62 %","4,42",449,"0,00 $"
20210622,2 280,1 761,"1,08",00:03:17,"46,78 %","5,02",577,"5 746,80 $"
20230215,2 279,1 738,"1,12",00:03:06,"47,35 %","3,99",469,"5 678,58 $"
20211125,2 278,1 820,"1,11",00:03:07,"53,55 %","4,17",455,"5 265,19 $"
20210908,2 274,1 752,"1,09",00:02:55,"46,32 %","5,01",539,"5 298,60 $"
20230417,2 274,1 735,"1,11",00:03:10,"47,20 %","4,12",438,"6 242,92 $"
20200520,2 272,1 808,"1,17",00:02:57,"44,71 %","4,81",340,"190,20 $"
20201218,2 271,1 853,"1,10",00:03:36,"49,30 %","5,86",649,"6 305,46 $"
20220530,2 271,1 875,"1,09",00:02:35,"53,72 %","3,98",388,"3 597,65 $"
20210901,2 270,1 742,"1,08",00:03:07,"44,63 %","5,16",598,"6 360,36 $"
20220224,2 269,1 728,"1,12",00:03:25,"45,73 %","4,95",532,"6 962,68 $"
20230227,2 269,1 629,"1,12",00:03:05,"47,13 %","3,90",334,"2 845,22 $"
20230323,2 268,1 745,"1,10",00:03:02,"42,99 %","3,96",314,"4 431,48 $"
20211222,2 266,1 603,"1,10",00:03:28,"42,49 %","5,87",611,"7 273,70 $"
20210831,2 265,1 728,"1,08",00:03:04,"48,87 %","5,30",603,"6 629,11 $"
20200304,2 264,1 840,"1,13",00:02:40,"45,22 %","4,10",274,"319,40 $"
20210223,2 262,1 778,"1,11",00:02:50,"49,94 %","4,32",475,"477,00 $"
20220409,2 262,1 883,"1,11",00:02:27,"52,52 %","3,67",316,"1 628,54 $"
20230322,2 261,1 653,"1,12",00:02:49,"47,35 %","3,97",339,"5 220,74 $"
20200116,2 259,1 857,"1,13",00:02:56,"45,90 %","4,45",331,"89,00 $"
20200108,2 254,1 827,"1,12",00:02:46,"42,53 %","4,52",340,"59,00 $"
20220708,2 254,1 710,"1,10",00:03:23,"42,40 %","5,20",606,"5 453,22 $"
20230120,2 252,1 601,"1,10",00:03:14,"46,06 %","4,20",440,"6 462,87 $"
20200203,2 251,1 859,"1,12",00:03:05,"46,40 %","4,30",313,"24,00 $"
20220104,2 251,1 604,"1,10",00:02:58,"45,38 %","4,89",536,"6 702,56 $"
20200115,2 249,1 794,"1,11",00:02:55,"46,86 %","4,11",297,"262,80 $"
20211015,2 249,1 671,"1,13",00:03:42,"43,81 %","5,34",621,"11 249,90 $"
20200427,2 248,1 868,"1,12",00:02:46,"48,73 %","4,23",275,"59,00 $"
20201023,2 247,1 747,"1,09",00:02:54,"48,29 %","4,81",323,"109,60 $"
20220812,2 245,1 577,"1,09",00:03:43,"40,31 %","6,55",852,"7 978,52 $"
20210810,2 242,1 589,"1,11",00:03:14,"43,91 %","5,81",634,"7 437,71 $"
20230106,2 241,1 694,"1,08",00:02:45,"48,46 %","4,00",432,"4 495,18 $"
20230110,2 241,1 554,"1,13",00:03:36,"44,63 %","4,70",586,"9 274,58 $"
20230126,2 237,1 744,"1,10",00:02:40,"47,09 %","3,90",418,"2 643,35 $"
20200205,2 236,1 827,"1,12",00:03:00,"45,16 %","4,60",314,"115,60 $"
20210122,2 236,1 756,"1,12",00:03:30,"51,84 %","5,39",657,"8 892,69 $"
20200128,2 235,1 818,"1,13",00:02:52,"43,89 %","4,20",271,"16,00 $"
20210818,2 233,1 723,"1,09",00:03:10,"43,83 %","5,53",586,"5 008,57 $"
20210614,2 231,1 731,"1,10",00:02:58,"47,04 %","5,19",600,"5 894,51 $"
20230213,2 229,1 720,"1,09",00:03:04,"45,87 %","4,05",415,"4 984,60 $"
20210111,2 225,1 776,"1,10",00:02:32,"50,49 %","4,32",400,"3 307,46 $"
20230313,2 224,1 701,"1,13",00:03:26,"45,74 %","4,31",424,"5 529,14 $"
20210112,2 221,1 755,"1,11",00:02:45,"49,23 %","4,35",438,"2 161,16 $"
20200616,2 220,1 728,"1,12",00:03:06,"44,64 %","5,13",355,"81,47 $"
20230501,2 219,1 661,"1,11",00:02:58,"48,91 %","4,06",425,"4 898,80 $"
